STATION_NUMBER,STATION_NAME,LOCATION,LAT,LON,DRAINAGE_AREA_GROSS,DRAINAGE_AREA_EFFECT,RHBN
02MC001,RAISIN RIVER NEAR WILLIAMSTOWN,ON,45.15547180175781,-74.63813781738281,404.0,,0
02MC002,ST. LAWRENCE RIVER AT CORNWALL,ON,45.00582885742188,-74.79528045654297,774000.0,,0
02MC005,SAINT-LAURENT (FLEUVE) A POINTE-DES-CASCADES,QC,45.33443832397461,-73.96211242675781,,,0
02MC007,SAINT-LOUIS (RIVIERE) PRES DE SAINT-LOUIS-DE-GONZAGUE,QC,45.223609924316406,-73.97638702392578,130.0,,0
02MC009,SOUTH RAISIN RIVER DIVERSION AT LONG SAULT,ON,45.029441833496094,-74.8888931274414,,,0
02MC010,SAINT-LAURENT (FLEUVE) - CENTRALE DE BEAUHARNOIS,QC,45.29999923706055,-73.90833282470703,772000.0,,0
02MC016,SAINT-LAURENT (FLEUVE) A COTEAU-LANDING,QC,45.25305938720703,-74.21138763427734,,,0
02MC017,SAINT-LAURENT (FLEUVE) A COTEAU-DU-LAC,QC,45.29639053344727,-74.16667175292969,,,0
02MC018,SAINT-LAURENT (FLEUVE) - CENTRALE DES CEDRES,QC,45.30833053588867,-74.06944274902344,772000.0,,0
02MC019,SAINT-LAURENT (FLEUVE) EN AMONT DE L'ECLUSE A BEAUHARNOIS,QC,45.29972076416016,-73.93055725097656,,,0
02MC020,SAINT-LAURENT (FLEUVE) EN AVAL DE L'ECLUSE A BEAUHARNOIS,QC,45.32027816772461,-73.91610717773438,,,0
02MC021,SAINT-LAURENT (FLEUVE) - BARRAGES COTEAUX,QC,45.272499084472656,-74.18167114257812,772000.0,,0
02MC022,ST. LAWRENCE RIVER BELOW CORNWALL CANAL,ON,45.01472091674805,-74.71150207519531,,,0
02MC023,ST. LAWRENCE RIVER AT SUMMERSTOWN,ON,45.059940338134766,-74.55410766601562,,,0
02MC024,SAINT-LAURENT (FLEUVE)(CHENAL BEAUHARNOIS) LAC SAINT FRANCOIS,QC,45.29999923706055,-73.90833282470703,772000.0,,0
02MC025,SAINT-LAURENT (FLEUVE)(CHENAL BEAUHARNOIS) - LES CHENAUX,QC,45.29999923706055,-73.90833282470703,772000.0,,0
02MC026,RIVIERE BEAUDETTE NEAR GLEN NEVIS,ON,45.27328109741211,-74.49385833740234,124.0,,0
02MC027,RAISIN RIVER AT BLACK RIVER,ON,45.08060836791992,-74.86805725097656,129.0,,0
02MC028,RIVIERE DELISLE NEAR ALEXANDRIA,ON,45.32707977294922,-74.64385986328125,85.4000015258789,,0
02MC029,SAINT-LAURENT (FLEUVE) AU BARRAGE DE L'ILE,QC,45.29777908325195,-74.0666732788086,772000.0,,0
02MC030,SOUTH RAISIN RIVER NEAR CORNWALL,ON,45.048828125,-74.77056121826172,25.799999237060547,,0
02MC036,RIVIERE DELISLE NEAR GLEN NORMAN,ON,45.31710815429688,-74.601806640625,159.0,,0
02MC037,GARRY RIVER NEAR ALEXANDRIA,ON,45.30646896362305,-74.63800048828125,0.4399999976158142,,0
02NA001,SAINT-MAURICE (RIVIERE) EN AVAL DU BARRAGE GOUIN,QC,48.33610916137695,-74.05860900878906,9480.0,,0
02NA003,SAINT-MAURICE (RIVIERE) AU RESERVOIR GOUIN,QC,48.35417175292969,-74.10138702392578,9450.0,,0
02NB001,MANOUANE (RIVIERE) AU RESERVOIR CHATEAUVERT,QC,47.75860977172852,-73.89360809326172,3060.0,,0
02NB002,MANOUANE (RIVIERE) EN AVAL DU BARRAGE MANOUANE,QC,47.63222122192383,-74.00332641601562,2240.0,,0
02NB003,MANOUANE (RIVIERE) AU RESERVOIR KEMPT,QC,47.54999923706055,-74.1833267211914,1500.0,,0
02NB004,SINCENNES (LAC) AU RESERVOIR SINCENNES,QC,47.53694152832031,-73.8880615234375,51.79999923706055,,0
02NB005,MONDONAC (RIVIERE) AU RESEVOIR MONDONAC,QC,47.45222091674805,-73.93277740478516,326.0,,0
02NB006,MANOUANE (RIVIERE) AU RESERVOIR MANOUANE,QC,47.63444137573242,-74.0,2240.0,,0
02NC001,SAINT-MAURICE (RIVIERE) PRES DE SANMAUR,QC,47.89693832397461,-73.77610778808594,17800.0,,0
02NC002,SAINT-MAURICE (RIVIERE) A LA CENTRALE DU RAPIDE BLANC,QC,47.79639053344727,-72.96833038330078,22600.0,,0
02NC003,SAINT-MAURICE (RIVIERE) A LA CENTRALE TRENCHE,QC,47.75389099121094,-72.8791732788086,25700.0,,0
02ND001,VERMILLON (RIVIERE) PRES DE LA RIVIERE SAINT-MAURICE,QC,47.65555953979492,-72.96278381347656,2670.0,,0
02ND002,VERMILLON (RIVIERE) A VERMILLON,QC,47.67193984985352,-73.00110626220703,2670.0,,0
02ND003,VERMILLON (RIVIERE) EN AVAL DE LA RIVIERE DES PRAIRIES,QC,47.6763916015625,-73.04277801513672,2640.0,,0
02NE001,SAINT-MAURICE (RIVIERE) A FITZPATRICK,QC,47.478328704833984,-72.77667236328125,30600.0,,0
02NE002,SAINT-MAURICE (RIVIERE) A LA CENTRALE DE LA TUQUE,QC,47.44417190551758,-72.79750061035156,32100.0,,0
02NE003,SAINT-MAURICE (RIVIERE) EN AVAL DE LA RIVIERE VERMILLON,QC,47.61249923706055,-72.91416931152344,28500.0,,0
02NE007,CROCHE (RIVIERE) A LA CROCHE,QC,47.584171295166016,-72.74305725097656,1850.0,,0
02NE009,CINCONSINE (RUISSEAU) AU RESERVOIR CINCONSINE,QC,47.37805938720703,-73.02693939208984,211.0,,0
02NE011,"CROCHE (RIVIERE) A 2,6 KM EN AVAL DU RUISSEAU CHANGY",QC,47.76721954345703,-72.7366714477539,1570.0,,1
02NF001,MATAWIN (RIVIERE) PRES DE LA RIVIERE SAINT-MAURICE,QC,46.9011116027832,-72.95166778564453,5540.0,,0
02NF002,MATAWIN (RIVIERE) AU RESERVOIR MATAWIN,QC,46.86333084106445,-73.65833282470703,4070.0,,0
02NF003,MATAWIN (RIVIERE) A SAINT-MICHEL-DES-SAINTS,QC,46.685829162597656,-73.91416931152344,1390.0,,1
02NF004,MATAWIN (RIVIERE) EN AMONT DE LA ROUTE NO. 131,QC,46.665828704833984,-73.97611236572266,1080.0,,0
02NF005,MATAWIN (RIVIERE) EN AVAL DU BARRAGE MATAWIN,QC,46.86471939086914,-73.64971923828125,4070.0,,0
02NG001,SAINT-MAURICE (RIVIERE) A LA CENTRALE DE GRANDE-MERE,QC,46.61582946777344,-72.679443359375,42000.0,,0
02NG002,MEKINAK (RIVIERE) PRES DE LA RIVIERE SAINT-MAURICE,QC,46.89638900756836,-72.72666931152344,997.0,,0
02NG004,SAINT-MAURICE (RIVIERE) EN AVAL DE LA RIVIERE MATAWIN,QC,46.89360809326172,-72.93000030517578,40400.0,,0
02NG005,SAINT-MAURICE (RIVIERE) A LA CENTRALE DE LA GABELLE,QC,46.449440002441406,-72.73999786376953,42700.0,,0
02NG006,SAINT-MAURICE (RIVIERE) A LA CENTRALE DE SHAWINIGAN,QC,46.53556060791016,-72.76583099365234,42200.0,,0
02NG009,SHAWINIGAN (RIVIERE) PRES DE LA RIVIERE SAINT-MAURICE,QC,46.58000183105469,-72.75250244140625,477.0,,0
